grid_id,LST_mean,LST_stdDev,LST_min,LST_max,LST_median
7605,,,,,
7606,302.62,0.0,302.62,302.62,302.62
7607,305.116,0.7649999999921476,304.3,305.83000000000004,305.83000000000004
7608,308.53379310344826,2.0786819742300113,305.62,310.35,309.52
7609,306.398064516129,0.9029334908356214,305.7,307.74,305.98
7611,300.00083333333333,0.1100000000988472,299.90000000000003,300.12,299.90000000000003
7614,300.3786666666667,0.16000000002539308,300.24,300.56,300.24
7618,,,,,
7619,303.104,0.029999999742334086,303.06,303.12,303.12
7621,305.66,0.0,305.66,305.66,305.66
7623,302.2531034482759,0.10499999999900216,302.13,302.34000000000003,302.34000000000003
7627,304.8,0.0,304.8,304.8,304.8
7632,304.14620689655175,0.22000000003233172,304.04,304.48,304.04
7634,301.32,0.0,301.32,301.32,301.32
7635,302.82,0.09999999997380656,302.74,302.94,302.74
7636,301.12,0.0,301.12,301.12,301.12
7637,303.71225806451616,0.014999999871167043,303.69000000000005,303.72,303.72
7640,301.5657142857143,0.15999999997991834,301.52,301.84000000000003,301.52
7641,302.0812903225807,0.14000000005064067,302.0,302.28000000000003,302.0
7643,304.944,0.09000000011628598,304.92,305.1,304.92
7644,305.79,0.0,305.79,305.79,305.79
7645,303.1166666666667,0.1750000000399138,303.0,303.35,303.0
7646,300.7109677419355,0.5699999999932805,300.38,301.52,300.38
7648,300.80655172413793,0.34499999996831476,300.64,301.33,300.64
7649,299.8,0.0,299.8,299.8,299.8
7652,303.2659090909091,0.115000000010528,303.13,303.36,303.36
7654,,,,,
7657,301.83133333333336,0.1100000000988472,301.78000000000003,302.0,301.78000000000003
7658,306.646,0.9800000000129601,306.45,308.40999999999997,306.45
7660,305.74,0.0,305.74,305.74,305.74
7661,302.58238095238096,0.48582118338383284,302.24,303.43,302.84000000000003
7665,301.20000000000005,0.29999999996992605,300.78000000000003,301.38,301.38
7666,304.6137931034483,0.7050000000029888,303.69000000000005,305.1,305.1
7671,301.38,0.0,301.38,301.38,301.38
7676,303.62,0.0,303.62,303.62,303.62
7677,302.26,0.0,302.26,302.26,302.26
7679,,,,,
7680,308.40000000000003,0.0,308.40000000000003,308.40000000000003,308.40000000000003
7681,304.72,0.0,304.72,304.72,304.72
7682,303.06,0.0,303.06,303.06,303.06
7684,304.28724137931033,0.5649999999993612,303.43,304.56,304.56
7691,305.38,0.0,305.38,305.38,305.38
7692,300.78000000000003,0.0,300.78000000000003,300.78000000000003,300.78000000000003
